artist_name,works_in_museum,in_dataset_count
Timothy H. O'Sullivan|Alexander Gardner|Mathew B. Brady,3,3
W. & F. Langenheim|William Langenheim|Frederick Langenheim,3,3
Edward Anthony,3,3
Charles DeForest Fredricks,3,2
Robert Murray,3,3
Emile Béchard,3,1
Firmin-Eugène Le Dien|Gustave Le Gray,3,2
Egbert Guy Fowx|Andrew Joseph Russell|Mathew B. Brady,3,2
Franck,3,2
Adolphe Terris,3,2
Alphonse Le Blondel,3,3
Alphonse J. Liébert|Alfred d'Aunay,3,3
Thomas C. Roche|Mathew B. Brady,3,3
Charles Victor Hugo|Auguste Vacquerie,3,3
Nicolaas Henneman,2,2
Thomas H. Johnson,2,1
James Knight|John Dillwyn Llewelyn,2,2
Carlo Naya,2,1
Jeremiah Gurney|Charles B. J. F. de Saint-Mémin,2,2
Timothy H. O'Sullivan|Andrew Joseph Russell|Mathew B. Brady,2,1
Jeremiah Gurney,2,1
Thomas Sutton,2,1
Charles Moussette,2,1
Charles Milton Bell,2,2
Timothy H. O'Sullivan|Alexander Gardner,2,2
Charles Victor Hugo,2,1
John Plumbe Jr.,2,1
Buzz Aldrin|National Aeronautics and Space Administration (NASA)|Neil Armstrong,2,2
Clementina Hawarden,2,2
Adrien Tournachon|Nadar|Jean-Charles Deburau,2,2
Louis-Auguste Bisson,2,1
Albert Sands Southworth|Southworth and Hawes,2,2
Mathew B. Brady|Andrew Joseph Russell,2,2
William James Mullins,2,1
William Henri Gebhard,2,2
William Harrison,2,1
Lewis Carroll|Alice Pleasance Liddell,2,2
Leavitt Hunt,2,2
"Lawrie & Co., G.W.",2,1
Andrew Joseph Russell|Timothy H. O'Sullivan|George N. Barnard|Mathew B. Brady,2,1
Antoine-François-Jean Claudet|Nicolaas Henneman,2,2
Josiah Rowe,2,2
Walery,2,1
Armand-Hippolyte-Louis Fizeau|Noël-Marie-Paymal Lerebours,2,2
Auguste-Rosalie Bisson|Bisson Frères,2,1
Napoleon Sarony|Oscar Wilde,2,2
James A. Palmer,2,2
George Kendall Warren,2,2
Constant Alexandre Famin,2,1
Hill and Adamson|David Octavius Hill|Robert  Adamson,2,2
Robert Wilfred Skeffington Lutwidge,2,1
George N. Barnard|Timothy H. O'Sullivan|Mathew B. Brady,2,2
Félix-Jacques-Antoine Moulin,2,2
Robert  Adamson|Hill and Adamson|David Octavius Hill,2,2
Léon Gérard,2,2
Frères Ghemar,2,2
Giovanni Morotti,2,2
Felix Thiollier,2,1
Hans Watzek,2,1
