object_id,has_person,person_percent,has_building,building_percent,has_tree,tree_percent,has_mountain,mountain_percent,has_grass,grass_percent,has_water,water_percent,has_rock,rock_percent,has_house,house_percent,has_road,road_percent,has_sidewalk,sidewalk_percent,has_fence,fence_percent,has_sea,sea_percent,has_animal,animal_percent,has_column,column_percent,has_boat,boat_percent,has_river,river_percent,has_plant,plant_percent,has_curtain,curtain_percent,has_windowpane,windowpane_percent,has_chair,chair_percent,has_field,field_percent,has_table,table_percent,has_hovel,hovel_percent,has_tent,tent_percent,has_bridge,bridge_percent,has_bench,bench_percent,has_pier,pier_percent,artist_name,origin,creation_year,work_type,works_in_museum
263042,1.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Gardner,"American, Scottish",1862,Photograph,48
263051,,,1.0,2.35,1.0,39.07,,,,,1.0,10.71,,,,,,,1.0,0.6,,,,,,,,,1.0,4.52,1.0,0.74,1.0,0.53,,,,,,,,,,,,,,,,,,,1.0,1.25,Timothy H. O'Sullivan|Mathew B. Brady,"American, born Ireland|American, born Ireland",1864,Photograph,57
263104,1.0,0.88,1.0,60.7,,,,,,,,,1.0,1.01,,,,,,,,,,,,,1.0,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Beato,"British, born Greece",1879,Photograph,4
263115,,,1.0,50.63,,,,,,,,,1.0,0.5,,,,,,,,,,,,,1.0,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Beato,"British, born Greece",1879,Photograph,4
263126,,,1.0,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Beato,"British, born Greece",1879,Photograph,4
263157,,,1.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Adams Whipple|James Wallace Black,American|American,1860,Photograph,4
263161,1.0,45.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Octavius Hill|Robert  Adamson|Hill and Adamson|Edward William Lane,"British, Scottish|British, Scottish|British, Scottish|British",1843,Photograph,1
263163,,,1.0,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Henry Fox Talbot|Robert Hunt,British|British,1846,Photograph,1
263167,,,1.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Adams Whipple|James Wallace Black,American|American,1860,Photograph,4
263172,,,,,1.0,1.43,1.0,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Wallace Black,American,1854,Photograph,12
263187,1.0,0.84,1.0,0.33,,,1.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Wallace Black,American,1869,Photograph,12
